Trip Start Date,Start Year,Start Month,St,Common Name,Units,Reported Qty,Gear,Disposition
23-Apr-19,2019,4,RI,"CRAB, HORSESHOE",CN,36000,BY HAND,Biomedical Use
7-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,73000,BY HAND,Biomedical Use
8-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,114000,BY HAND,Biomedical Use
9-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,109000,BY HAND,Biomedical Use
10-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,73000,BY HAND,Biomedical Use
11-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,41000,BY HAND,Biomedical Use
21-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,107800,BY HAND,Biomedical Use
25-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,33000,BY HAND,Biomedical Use
22-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,114000,BY HAND,Biomedical Use
23-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,108000,BY HAND,Biomedical Use
24-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,81000,BY HAND,Biomedical Use
30-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,5000,BY HAND,Biomedical Use
31-May-19,2019,5,RI,"CRAB, HORSESHOE",CN,61000,BY HAND,Biomedical Use
1-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,101000,BY HAND,Biomedical Use
2-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,80000,BY HAND,Biomedical Use
4-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,64000,BY HAND,Biomedical Use
2-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Bait
4-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Bait
7-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Bait
3-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Bait
1-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Bait
13-Sep-19,2019,9,RI,"CRAB, HORSESHOE",CN,100,BY HAND,Personal Use
1-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Personal Use
2-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,6000,BY HAND,Personal Use
7-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,2700,BY HAND,Personal Use
26-Jun-19,2019,6,RI,"CRAB, HORSESHOE",CN,2900,BY HAND,Personal Use
